,n_segment500,n_segment550,n_segment600,n_segment650,n_segment700,n_segment750,n_segment800,n_segment850,n_segment900,n_segment950,n_segment1000,n_segment1050,n_segment1100,n_segment1150,n_segment1200,n_segment1250,n_segment1300,n_segment1350,n_segment1400,n_segment1450,n_segment1500,n_segment1550,n_segment1600,n_segment1650,n_segment1700,n_segment1750,n_segment1800,n_segment1850,n_segment1900,n_segment1950,n_segment2000,n_segment2050,n_segment2100,n_segment2150,n_segment2200,n_segment2250,n_segment2300,n_segment2350,n_segment2400,n_segment2450,n_segment2500,n_segment2550,n_segment2600,n_segment2650,n_segment2700,n_segment2750,n_segment2800,n_segment2850,n_segment2900,n_segment2950
0,0.131279465,0.318358334,0.461335879,0.408239066,0.205404976,0.205141847,0.449109974,0.462851048,0.510354545,0.510354545,0.611846219,0.6955568,0.644409463,0.644644415,0.644644415,0.695246812,0.695246812,0.64118474,0.640953018,0.641697229,0.641807143,0.641807143,0.641757771,0.6416139,0.701044735,0.701143004,0.701173765,0.706850471,0.706963384,0.706698345,0.706808766,0.706808766,0.706755744,0.707143163,0.706808766,0.706808766,0.706808766,0.706678954,0.719292812,0.719270997,0.719292812,0.719222454,0.719292812,0.76291886,0.76291886,0.76291886,0.76291886,0.762791228,0.762845698,0.769668402
1,0.471029458,0.67755023,0.676320064,0.669249987,0.688450183,0.68830065,0.635493196,0.678697251,0.787655504,0.787561015,0.729727269,0.780720038,0.730842725,0.730842725,0.730842725,0.785133289,0.785133289,0.78054488,0.731071698,0.788261928,0.788261928,0.788261928,0.788261928,0.788328853,0.788316285,0.788316285,0.788316285,0.789322942,0.789322942,0.789322942,0.789172762,0.789172762,0.789172762,0.789172762,0.789130086,0.789172762,0.789172762,0.789172762,0.794830416,0.794830416,0.794830416,0.794830416,0.794830416,0.794382488,0.794436798,0.794436798,0.794382488,0.794436798,0.794436798,0.797849608
2,0.704181416,0.763263123,0.706490991,0.75718967,0.812543862,0.812543862,0.765705608,0.76532345,0.810015971,0.810015971,0.814230201,0.810058765,0.816910661,0.816910661,0.816910661,0.757671594,0.757671594,0.8093848,0.8093848,0.812174282,0.812174282,0.812174282,0.812174282,0.812174282,0.811677408,0.811677408,0.811677408,0.811543555,0.811543555,0.811543555,0.813352154,0.813387341,0.813387341,0.813387341,0.813387341,0.813352154,0.813387341,0.813352154,0.812942092,0.812942092,0.812942092,0.812942092,0.812942092,0.813234026,0.813234026,0.813234026,0.813234026,0.813234026,0.813234026,0.814904618
3,0.723022776,0.773979957,0.718325875,0.828816906,0.827137034,0.827137034,0.827226446,0.829563038,0.769016219,0.768785581,0.825397493,0.822971424,0.820045686,0.820045686,0.820045686,0.822920489,0.822920489,0.823196945,0.823196945,0.825881803,0.825881803,0.825881803,0.825881803,0.825881803,0.823095905,0.823095905,0.823095905,0.823092288,0.823092288,0.823092288,0.824450938,0.824450938,0.824450938,0.824450938,0.824450938,0.824450938,0.824450938,0.824450938,0.821667082,0.821667082,0.821667082,0.821667082,0.821667082,0.823538129,0.823538129,0.823538129,0.823538129,0.823538129,0.823538129,0.819990677
4,0.767758578,0.81803065,0.658083322,0.827118633,0.825292046,0.825292046,0.826977911,0.829409948,0.825275256,0.825162942,0.772694044,0.824196537,0.824535899,0.824535899,0.824535899,0.827647126,0.827632821,0.826897085,0.826897085,0.771626469,0.771626469,0.771626469,0.771626469,0.771626469,0.822963646,0.822963646,0.822963646,0.824908936,0.824908936,0.824908936,0.823377953,0.823377953,0.823377953,0.823377953,0.823377953,0.823377953,0.823377953,0.823377953,0.821274313,0.821274313,0.821274313,0.821274313,0.821274313,0.823516184,0.823516184,0.823516184,0.823516184,0.823516184,0.823516184,0.81863851
5,0.805614111,0.69493491,0.756206369,0.813762563,0.813151911,0.813151911,0.707192062,0.763692476,0.81413086,0.81413086,0.82009018,0.81545483,0.817752105,0.817689404,0.817689404,0.818501237,0.818501237,0.820856208,0.820847523,0.817954786,0.818003554,0.818126427,0.818054129,0.818126427,0.819006028,0.819006028,0.819006028,0.819948715,0.819948715,0.819948715,0.816038935,0.816038935,0.816038935,0.816038935,0.816038935,0.816038935,0.816038935,0.816038935,0.81317293,0.81317293,0.81317293,0.81317293,0.81317293,0.814075032,0.814075032,0.814075032,0.814075032,0.814075032,0.814075032,0.809293406
6,0.782729386,0.777973694,0.783419425,0.797293587,0.795247225,0.795247225,0.746164232,0.749661806,0.799964137,0.799964137,0.803104038,0.803477713,0.804486965,0.804486965,0.804486965,0.804817649,0.804817649,0.806238806,0.806238806,0.804927187,0.804927187,0.804927187,0.804801493,0.804927187,0.808071343,0.808071343,0.808071343,0.808044631,0.808044631,0.808044631,0.805310779,0.805310779,0.805310779,0.805310779,0.805310779,0.805310779,0.805310779,0.805310779,0.800960697,0.800960697,0.800960697,0.800960697,0.800960697,0.802162093,0.802162093,0.802162093,0.802162093,0.802162093,0.802162093,0.795734878
1,0.755676709,0.754529842,0.76148699,0.775734958,0.776375731,0.77609501,0.780947429,0.731935934,0.781345195,0.781345195,0.784987128,0.785467549,0.787516147,0.787260681,0.787516147,0.790326593,0.790401649,0.789965964,0.789965964,0.792188845,0.792365711,0.792188845,0.792456546,0.792365711,0.792925514,0.792925514,0.792925514,0.794033924,0.794033924,0.794033924,0.79107346,0.79107346,0.79107346,0.79107346,0.79107346,0.79107346,0.79107346,0.79107346,0.787274262,0.787274262,0.787274262,0.787274262,0.787274262,0.787301303,0.787301303,0.787301303,0.787301303,0.787301303,0.787301303,0.778772065
2,0.732056286,0.730346132,0.7406397,0.75511186,0.758165614,0.758165614,0.761596955,0.762816966,0.762236394,0.762236394,0.766600696,0.766019508,0.770384824,0.770384824,0.770413237,0.776216645,0.776216645,0.775365797,0.775365797,0.774803022,0.774922009,0.774922009,0.774922009,0.774786222,0.77686489,0.77686489,0.77686489,0.778439173,0.778439173,0.778411074,0.77341431,0.77341431,0.77341431,0.77341431,0.77341431,0.77341431,0.77341431,0.77341431,0.769099817,0.769099817,0.769099817,0.769099817,0.769099817,0.768720147,0.768720147,0.768720147,0.768720147,0.768720147,0.768720147,0.757701251
3,0.705400917,0.708981676,0.719475099,0.734805986,0.738093798,0.738027125,0.74407998,0.743605532,0.744832991,0.744832991,0.749000202,0.747014842,0.752507031,0.752507031,0.752507031,0.759564159,0.759564159,0.759998165,0.760143154,0.758566737,0.758544975,0.758544975,0.758544975,0.758544975,0.759412442,0.759412442,0.759412442,0.759597586,0.759597586,0.759597586,0.757233376,0.757233376,0.757233376,0.757233376,0.757233376,0.757233376,0.757233376,0.757233376,0.749247244,0.749247244,0.749247244,0.749247244,0.749247244,0.74634639,0.74634639,0.74634639,0.74634639,0.74634639,0.74634639,0.736678349
